date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-07-05,2,,200000000,,,,,,,,200000000,0,0,0,,,,,,0,,,,
2017-07-06,0,,0,,,,,,,,200000000,0,0,0,,,,,,0,,,,
2017-07-07,6,,0,,9.49240593,,,,,,200000000,8,8,21069474,,2633684.25,,10,,21069474,,,,
2017-07-08,24,,0,,504.08980662,,,,,,200000000,35,35,396754.7,,11335.84857143,,4451.5,,396754.7,,,,
2017-07-09,82,,0,,6.76724851,,,,,,200000000,137,137,29554109,,216015.3649635,,9989,,29594105,,,,
2017-07-10,55,,0,,125.21015115,,,,,,200000000,68,68,1597314.58,,23489.92029412,,8616.5,,1597314.58,,,,
2017-07-11,304,,0,,8.51842683,,,,,,200000000,404,404,23478513.590716824,,58115.13265029,,6560.61905,,23478513.5907168,,,,
2017-07-12,421,,0,,15.38374197,,,,,,200000000,534,534,13000738.0769,,24345.95145487,,8898.95,,13000738.0769,,,,
2017-07-13,389,,0,,9.14854221,,,,,,200000000,511,511,21861406.47831953,,42784.74653291,,9970,,21863005.4783195,,,,
2017-07-14,362,,0,,8.54528029,,,,,,200000000,422,422,23404732.58918515,,55461.45163314,,5483.5,,23404732.589185120000021606,,,,
2017-07-15,52,15355823.14012278,0,0,145.74501413,,0.0000385895832846288,0.0767791157006139,,,200000000,58,58,1372259.6357149899,105360.8813418434919467968623,23659.64889164,1816.566919687128981202577796,9080.676,697.2062732437878269964,1372259.635714990000010024,105360.8813418434996254780662,,,
2017-07-16,28,14961379.9755081,0,0,652.25630081,,0.00003915055230859149,0.0748068998775405,,,200000000,29,29,306627.931,22937.8849339743968837055,10573.37693103,790.961549447057654714531715,5925,443.2308817744274625,306627.931,22937.8849339743968837055,,,
2017-07-17,27,18109181.29530732,0,0,330.87723104,,0.00004086474459380474,0.0905459064765366,,,200000000,23,23,604453.8011,54730.81734378765583327026,26280.60004783,2379.600754078078476732745578,2645.041,239.4976350126048450006,604453.8011,54730.81734378765583327026,,,
2017-07-18,29,18620366.91184954,0,0,568.2270503,,0.000040412971946230326,0.0931018345592477,,,200000000,30,30,351971.98003000004,32769.23705424389904029681337,11732.39933433,1092.307901807819504425583541,6843.04,637.099577962314381008,351971.98003,32769.237054243895316223431,,,
2017-07-19,41,21578493.4428906,0,0,193.86740286,,0.00004780210403272931,0.107892467214453,,,200000000,53,53,1031632.94625855,111305.4238315501595668348232,19464.77257092,2100.10233644477013179150676,4999.9,539.4515468255435547,1031632.94625855,111305.4238315501595668348232,,,
2017-07-20,18,23542577.5633372,0,0,499.77100867,,0.000041684540619520785,0.117712887816686,,,200000000,13,13,400183.277,47106.729191614778760022,30783.329,3623.594553201136827694,10457,1230.923667899085502,400183.277,47106.729191614778760022,,,
2017-07-21,32,22245851.2675766,0,0,64.17370321,,0.000041719215078901044,0.111229256337883,,,200000000,33,33,3116541.3555000005,346650.5773185229064350346689,94440.64713636,10504.56294904574252453472588,8625,959.352335914240875,3116541.3555,346650.5773185228508204065,,,
2017-07-22,16,23659095.3573428,0,0,3071.19336408,,0.000041804154880187134,0.118295476786714,,,200000000,14,14,65121.266,7703.551210424427659924,4651.519,550.253657887459118566,2834.9,335.3558471426555186,65121.266,7703.551210424427659924,,,
2017-07-23,14,23922060.4076336,0,0,4725.90551421,,0.00004344340999415532,0.119610302038168,,,200000000,12,12,42319.932,5061.899848754731164576,3526.661,421.824987396227597048,1921.2,229.7953122757283616,42319.932,5061.899848754731164576,,,
2017-07-24,30,23213559.0522412,0,0,652.09247591,,0.00004212743191116293,0.116067795261206,,,200000000,30,30,306704.965,35598.56908321535208779,10223.49883333,1186.61896944012484360879598,2470.95,286.7977187006769657,306704.965,35598.56908321535208779,,,
2017-07-25,21,21191899.0652226,0,0,551.75890407,,0.00004141157042665095,0.105959495326113,,,200000000,29,29,362477.159,38407.896834883218752967,12504.3847931,1324.9583020403979225322203,4985,528.208084200673305,362627.159,38423.790759182135702967,,,
2017-07-26,11,21004640.3595362,0,0,3614.97668501,,0.00004163746405610764,0.105023201797681,,,200000000,9,9,55325.3914,5810.4497455378849373434,6147.26571111,645.60552728187052281393591,2672,280.621995203403632,55325.3914,5810.4497455378849373434,,,
2017-07-27,22,21611601.7025828,0,0,1295.09997132,,0.00004054485037989489,0.108058008512914,,,200000000,17,17,154428.2329,16687.2073053424658496706,9084.0137,981.6004297260274029218,3317.019,358.430467339497483366,154428.2329,16687.2073053424658496706,,,
2017-07-28,19,20938545.236444,0,0,2257.32978607,,0.00003747278667445955,0.10469272618222,,,200000000,14,14,88600.25736363,9275.8024838447368521806586,6328.58981169,662.5573202748484024261518,2699,282.56566796581178,88600.25736363,9275.8024838447368521806586,,,
2017-07-29,6,21477466.3429752,0,0,852.27673564,,0.000039678287551139545,0.107387331714876,,,200000000,3,3,234665.563,25200.108655939132015188,78221.85433333,8400.03621864601938062361708,7206,773.833112337396456,234665.563,25200.108655939132015188,,,
2017-07-30,6,21437429.211535,0,0,14660.72516345,,0.00003898586937463478,0.107187146057675,,,200000000,3,3,13641.89,1462.23525593273600575,4547.29666667,487.41175197793595907019225,2962.9,317.5847950542852575,13641.89,1462.23525593273600575,,,
2017-07-31,9,20896388.8481614,0,0,198.45697125,,0.000036498823495032075,0.104481944240807,,,200000000,8,8,1007775.13,105294.30493993202572991,125971.89125,13161.78811749150321623875,752.735,78.647216298103857145,1007775.13,105294.30493993202572991,,,
2017-08-01,12,19962320.60956322,0,0,94.54492668,,0.00003659602513150209,0.0998116030478161,,,200000000,10,10,2115396.426,211141.1083606808850452586,211539.6426,21114.11083606808850452586,15881.213,1585.1293278738166689293,2115396.426,211141.1083606808850452586,,,
2017-08-02,17,20045367.1828094,0,0,1718.54030112,,0.000037257029222676856,0.100226835914047,,,200000000,13,13,116377.83523,11664.18219562920820847581,8952.14117154,897.24478427932405732262238,1670,167.37881597645849,116377.83523,11664.18219562920820847581,,,
2017-08-03,10,21355838.0303604,0,0,3064.39817442,,0.00003827559146697838,0.106779190151802,,,200000000,9,9,65265.67,6969.01538731475923734,7251.74111111,774.33504303485460504872022,4591,490.223261986922982,65265.67,6969.01538731475923734,,,
2017-08-04,19,21525794.5562234,0,0,1888.05755292,,0.000037628918176504994,0.107628972781117,,,200000000,15,15,105928.9743,11401.0266916663422182931,7061.93162,760.06844611108948121954,1599,172.098727477006083,105928.9743,11401.0266916663422182931,,,
2017-08-05,27,25607145.3994514,0,0,63.19410587,,0.00003954865108123887,0.128035726997257,,,200000000,22,22,3164852.1209999993,405214.1421510456880070881019,143856.91459091,18418.82464322946992484713387,15049,1926.809655581720593,3164852.121,405214.142151045777632097,,,
2017-08-06,10,26271000.5851318,0,0,1660.67026312,,0.000040665714202220765,0.131355002925659,,,200000000,11,11,120433.3,15819.5164738467680447,10948.48181818,1438.13786125855826769468062,5499,722.321161088198841,120433.3,15819.5164738467680447,,,
2017-08-07,28,29891775.0724212,0,0,458.91632346,,0.000044054863822326165,0.149458875362106,,,200000000,28,28,435809.29633134004,65135.56730203287067821121652,15564.61772612,2326.27026078699478133440872,3744.7,559.6786505684783382,435809.29633134,65135.56730203286469985620204,,,
2017-08-08,35,44984892.9567796,0,0,432.28079394,,0.00006565840561075387,0.224924464783898,,,200000000,37,37,462662.239,104064.056482794899827622,12504.38483784,2812.54206710305118337310032,7999.8,1799.3507333782272204,462662.239,104064.056482794899827622,,,
2017-08-09,43,48697950.0692814,0,0,86.87580429,,0.00007274397340736413,0.243489750346407,,,200000000,54,54,2302136.9601000007,560546.7536779855033801859425,42632.16592778,10380.49543848175095754448646,4958.081,1207.241904887263964967,2302136.9601,560546.7536779853329373607,,,
2017-08-10,51,69949262.3092162,0,0,391.31621263,,0.00010175823085914658,0.349746311546081,,,200000000,55,55,511095.61410000094,178753.8058788545179048749533,9292.64752909,3250.06919779703094232299629,2686.915,939.738610687838230115,511095.614100001000015,178753.8058788545388948998408,,,
2017-08-11,55,79979063.0117904,0,0,97.71642146,,0.00010924547779076565,0.399895315058952,,,200000000,67,67,2046738.8901,818481.2932999492325491752,30548.34164328,12216.13870596795906975464256,2999,1199.286049861797048,2046738.8901,818481.2932999492325491752,,,
