date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-12-18,3,,100,,10,,,,,,100,1,1,10,,10,,10,,10,,,,
2017-12-19,41,,98876775,,1.00000403,,,,,,98876875,38,38,98876477,,2602012.55263158,,1363500,,98876477,,,,
2017-12-20,72,,157766040,,61.72587462,,,,,,256642915,22,22,4157784.99,,188990.59045455,,21000,,4157792.99,,,,
2017-12-21,907,,0,,0.98461528,,,,,,256642915,1249,1351,260652988.50671083,,211898.3789146,,30224,,286274709.91362987,,,,
2017-12-22,290,222912843.284748364833295,3000000,2575608.619454319,7.77647753,,0.00006001349850882089,0.858536206484773,,,259642915,290,290,33388242.180760074,28665014.78306463845493284735,125813.72122676,108015.6349457552911528201255,11674,10022.551674503240002,36485979.15576007,31324534.13426875111736969641,,,
2017-12-23,194,291431779.76854511918355,0,0,15.58541714,,0.00007527621861667431,1.12243301446737,,,259642915,192,192,16659349.742100004,18699004.15009151046809733487,87558.34769427,98278.3801442615715916509699,4923.07,5525.8163005338752259,16811202.7573,18869448.987698401334879301,,,
2017-12-24,220,273233388.49686106956085,0,0,14.13787872,,0.00007502615969414443,1.05234293990599,,,259642915,229,229,18365054.621099997,19326335.57150245809204156928,81090.92744585,85335.4649880691217098156415,4545,4782.89866187272455,18569822.3851,19541821.482268197191576749,,,
2017-12-25,228,282206316.7402128,357085,387583.2408199187988,16.43226137,,0.00007708354245697862,1.08540891053928,,,260000000,258,258,15822533.1343,17173918.451272222281665304,68643.5042314,74506.271143402330735909392,5400,5861.208116912112,17710024.0917,19222617.954996498839171976,,,
2017-12-26,246,302034608.5792438,0,0,19.62282601,,0.00007386410795215,1.16167157145863,,,260000000,363,363,13249875.421299996,15392003.60229264358008453317,48140.96336143,55923.9885596047189329826409,3529,4099.53897567750527,17475169.7002,20300407.847137570093802726,,,
2017-12-27,267,281503464.010483,0,0,27.93273863,,0.00007035581197153809,1.08270563080955,,,260000000,362,362,9308074.064699998,10077904.20184302345466662338,31826.35466215,34458.5734008515783212435325,3982,4311.3338218836281,11521140.3877,12474003.571110111951862535,,,
2017-12-28,214,253423607.8742303,0,0,20.81298971,,0.00006821158500966402,0.974706184131655,,,260000000,272,272,12492198.553500004,12176223.18349696914338577903,67418.83898088,65713.5592816400210079477564,4307,4198.059535055038085,18337924.2028,17874088.124606709526119634,,,
2017-12-29,201,266428573.4223568,0,0,32.16925269,,0.00007032275175665828,1.02472528239368,,,260000000,278,278,8082251.7862,8282087.743990619591591216,32297.04427554,33095.5978157339125926745872,2507,2568.98628296095576,8978578.3086,9200576.192773904733729648,,,
2017-12-30,214,232098786.80066442,0,0,43.61850201,,0.00006894024470222645,0.892687641541017,,,260000000,286,286,5960773.250100002,5321108.614392553460924634782,25389.48616154,22664.88052148343116179788618,2997.998,2676.275763964685883966,7261393.0422,6482155.8291438685297119174,,,
2017-12-31,170,260663525.082428,0,0,139.65343256,,0.0000720147551377306,1.0025520195478,,,260000000,233,233,1861751.5892,1866502.81564878611536376,9026.24882017,9049.283983602380526919126,2403.592,2409.7260137689356976,2103115.9751,2108483.16817974565805978,,,
2018-01-01,203,268885842.7632338,0,0,46.69248958,,0.0000768067525648652,1.03417631832013,,,260000000,258,258,5568347.33662088,5758652.947714283273192282314,25684.97796528,26562.7959482669342350650864,4991.5,5162.091092894928895,6626724.31504176,6853201.354652372628013998629,,,
2018-01-02,261,271181164.570329,0,0,16.15744013,,0.0000706914532999507,1.04300447911665,,,260000000,342,342,16091657.954564791,16783671.32302414740909887187,50305.54985925,52468.9138276237119718315125,3734,3894.5787250215711,17204498.051864787501,17944368.52904865236367624444,,,
2018-01-03,310,367575647.6210026,0,0,26.1939179,,0.00009418557886386406,1.41375249085001,,,260000000,460,460,9925968.348702993,14032862.47707721698028360108,28012.93202935,39603.3524325055879357677935,3002.2115,4244.383986183544797115,12885948.7335029869,18217542.11895537943527725489,,,
2018-01-04,442,471904507.205079,0,0,24.15907959,,0.00012043670260158582,1.81501733540415,,,260000000,794,794,10761999.396136714,19533215.46759712999588584296,16797.5590226,30487.86081849339024998379,2071.3185,3759.478984643320871775,13337261.8639467175,24207361.48988795816116192838,,,
2018-01-05,16322,422478033.9890656,0,0,37.22359919,,0.00009559885717494625,1.62491551534256,,,260000000,668,16909,6984816.2365999995,11349736.27466796868655193833,418.70745577,680.3642412702816975985712,1,1.62491551534256,7079924.3696,11504278.955614933236050176,,,
2018-01-06,415,489923390.6850374,0,0,55.25055558,,0.00011017107009490456,1.88432073340399,,,260000000,495,495,4705835.03241775,8867302.519563603736957196822,9598.43684039,18086.5335466155613050191561,1547.5129999,2916.010830923776703529601,4751226.23599218,8952834.105573063486946420798,,,
2018-01-07,568,626587935.8867752,0,0,22.19931685,,0.00014847208499490052,2.40995359956452,,,260000000,911,911,11712072.119695976,28225550.36322057510002839637,13377.21746389,32238.4733792590648428251828,1943,4682.53984395386236,12186645.10960823,29369249.248515708265795808,,,
2018-01-08,425,561638732.4134964,0,0,46.65838909,,0.00014461330544070816,2.16014897082114,,,260000000,554,554,5572416.988390382,12037250.82245772012105341828,11279.24708203,24364.8539758844509580381142,998,2155.82867287949772,6248702.8834461525,13498129.10264329625905089866,,,
2018-01-09,383,619015273.7638948,0,0,53.75749046,,0.00016558150711167255,2.38082797601498,,,260000000,482,482,4836535.295298381,11514958.53803025805103042575,10845.42677769,25821.0954841463491485697962,1184.2,2819.376489196939316,5227495.70684545,12445768.02335584995399774484,,,
2018-01-10,433,533104733.2859664,0,0,50.99269044,,0.00013977711383291667,2.05040282033064,,,260000000,527,526,5098769.995704501,10454532.37940975404847255621,9780.05328271,20053.0488338525180595952344,784.7,1608.951093113453208,5144308.0267045,10547903.68660445611263957588,,,
2018-01-11,319,519264262.0529416,0,0,128.10377401,,0.00015145274537517591,1.99717023866516,,,260000000,351,351,2029604.52963431,4053465.76284564470459733764,6089.2079434,12161.184881601966084831944,1000.2987,1997.766793415449283292,2137311.98813431,4268575.89344410752069319764,,,
2018-01-12,395,496132508.8983744,0,0,59.67952517,,0.00013838135923435274,1.90820195730144,,,260000000,584,584,4356603.0270858295,8313278.423470558275353083944,7544.58642823,14396.5945893783661790356512,1560.2475,2977.2673333746785064,4406038.47408583,8407611.240196030829597742595,,,
2018-01-13,374,475015335.4087232,0,0,56.06626508,,0.0001283784109219953,1.82698205926432,,,260000000,497,497,4637369.720360708,8472391.281274610089023514339,11428.46528443,20879.6010395787139853505376,1500,2740.47308889648,5679947.2463607085305,10377161.71666879118390981678,,,
2018-01-14,333,429061476.480429,0,0,49.55850378,,0.00012062192470972132,1.65023644800165,,,260000000,390,390,5246324.650300758,8657676.155975821449300580251,13465.15601308,22220.691230813198247261582,1416.874,2338.1771170258898421,5251410.8451007578,8666069.58001641758187471065,,,
2018-01-15,353,358336493.9316526,0,0,49.0530294,,0.00010140141924966796,1.37821728435251,,,260000000,451,451,5300386.197602716,7305083.871279541695060277417,12139.36253349,16730.6792646771935278405599,1933.756,2665.13594292037232756,5474852.502602717800001011,7545536.348367660913028332629,,,
2018-01-16,371,281413841.0751122,0,0,33.41775918,,0.00009468612805578826,1.08236092721197,,,260000000,442,442,7780294.261640411,8421086.51101108476526091492,17618.11224579,19069.1563060778275000701063,1701.595,1841.73994193925209215,7787205.61264041,8428567.087287731058971457708,,,
2018-01-17,358,336663960.3144636,0,0,55.86945009,,0.00011603107540139693,1.29486138582486,,,260000000,379,379,4653706.08767075,6025904.313902934772464844845,12312.76732367,15943.3269600663887375524362,1478.958,1915.04560545676329588,4666538.815670749999999994,6042520.917864928256482917076,,,
2018-01-18,328,352171732.9468182,0,0,67.77989025,,0.00012044299128107243,1.35450666518007,,,260000000,404,404,3835946.0166161787,5195814.446777553595193110799,9530.74028469,12909.4512397128028619141283,1174.1455,1590.387905641185880185,3850419.075016179999999986,5215418.30084589575567784457,,,
2018-01-19,331,422383326.5417012,0,0,102.98742913,,0.0001420030564154568,1.62455125592962,,,260000000,375,375,2524579.9627062255,4101309.549109151857268963849,6776.26328722,11008.3870337630263381654564,1064.531,1729.38517302601430822,2541098.732706225146200996,4128145.137659063811471747554,,,
2018-01-20,344,521668490.1991784,0,0,89.67077778,,0.00015713923039814426,2.00641726999684,,,260000000,436,436,2899495.3143003504,5817597.472887138604418218893,7321.07380229,14689.1289118360869550847636,1463.839,2937.07185009490426876,3191988.177800349999999995,6404460.205564366169402640862,,,
2018-01-21,329,406400719.8278222,0,0,52.79873767,,0.00013684343721770924,1.56307969164547,,82.06333988468693,260000000,463,463,4924360.15503814,7697167.352688254713687208226,10931.92999879,17087.4777715985364302089813,1714.9999999,2680.681671015673080835453,5061483.589438139999999996,7911502.208247574547289369973,,0.15480975037121256,
2018-01-22,289,368516160.8100258,0,0,82.660356,,0.00013200368555044855,1.41736984926933,,26.276564480947396,260000000,352,352,3145401.4060743693,4458197.116819167458209245584,10484.00447436,14859.7118415626144967193788,1272.12,1803.0645326525000796,3690369.574974369999999995,5230618.568229544223397969985,,0.1488932637687258,
2018-01-23,215,372092261.3487456,0,0,185.98177972,,0.0001319082302520293,1.43112408211056,,35.99407834088837,260000000,256,256,1397986.4070309098,2000692.013565150510311140987,6074.61395325,8693.52631802090648517132,1025.2885,1467.31506346101289656,1555101.172030909999999996,2225542.737411792134954351685,,0.14826656470855534,
2018-01-24,435,459241815.2494432,0,0,25.61179333,,0.00015734286568665898,1.76631467403632,,62.73264913208936,260000000,695,695,10151573.4031474,17930873.06653607555094991357,17662.11946565,31196.860786760122127092408,2277,4021.89851278070064,12275173.028625420000000181,21681818.24679593567981307496,,0.15268618449615112,
2018-01-25,632,596398354.8636516,0,0,33.08346915,,0.00020608661338398536,2.29383982639866,,97.4602704203603,260000000,1248,1248,7858909.802194425,18027080.29634838724191287947,7460.97927453,17114.2914038518954293641298,2138.6505,4905.72169164740740833,9311302.134607694853799787,21358635.67199398705068390248,,0.15890099274556704,
2018-01-26,366,542400462.3403964,0,0,66.52366364,,0.0001890394908216883,2.08615562438614,,92.67985360215594,260000000,573,572,3908383.66017463,8153496.554932192463158951628,9283.88000625,19367.618491164470075613375,1487.916,3104.02433201412788424,5310379.363574679999999994,11078277.77694540931345103442,,0.15945801704185308,
2018-01-27,298,504962956.4292768,0,0,185.55593127,,0.00017155466229938236,1.94216521703568,,99.25647837824214,260000000,470,471,1401194.76760425,2721351.73993336740068036964,4485.96984627,8712.4946000964905947049136,742,1441.08659104047456,2112891.797593379999999997,4103584.956645854924801585972,,0.15865236495583276,
