date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-07-07,2805,,17173696075.72224756,,1.16351777,,,,,,17173696075.72224756,15,4312,14760149421.000265,,3535278.87007795,,20000,,15244122487.77610968,,,,
2017-07-08,0,,0,,,,,,,,17173696075.72224756,0,0,0,,,,,,0,,,,
2017-07-09,0,,0,,,,,,,,17173696075.72224756,0,0,0,,,,,,0,,,,
2017-07-10,0,,0,,,,,,,,17173696075.72224756,0,0,0,,,,,,0,,,,
2017-07-11,0,,0,,,,,,,,17173696075.72224756,0,0,0,,,,,,0,,,,
2017-07-12,896,,0,,26.87364884,,,,,,17173696075.72224755,5,1459,639053378.135597,,570923.48065868,,20000,,832977358.28101181,,,,
2017-07-13,0,,0,,,,,,,,17173696075.72224755,0,0,0,,,,,,0,,,,
2017-07-14,372,,0,,88.45937267,,,,,,17173696075.72224755,55,592,194142187.0552095,,525786.67859326,,20000,,311265713.72720789,,,,
2017-07-15,131,,0,,559.80807921,,,,,,17173696075.72224755,214,213,30677828.19393697,,186804.82241632,,28199.99,,39789427.17467519,,,,
2017-07-16,202,,0,,283.64168945,,,,,,17173696075.72224755,329,329,60547150.5586092,,234714.51600859,,16918.2,,77221075.76682765,,,,
2017-07-17,160,,0,,339.9241893,,,,,,17173696075.72224755,216,216,50522135.865407005,,266570.8716016,,14949.985,,57579308.26594545,,,,
2017-07-18,159,,0,,386.52468699,,,,,,17173696075.72224755,218,218,44431045.81299562,,259866.38548325,,17843.202,,56650872.03534819,,,,
2017-07-19,165,,0,,528.13261485,,,,,,17173696075.72224755,214,214,32517772.227953248,,219074.51132844,,23600.420970115,,46881945.42428705,,,,
2017-07-20,142,,0,,72.7222486,,,,,,17173696075.72224755,194,194,236154635.01649585,,1866975.66940647,,17066.63736543,,362193279.86485559,,,,
