date,BlkCnt,CapMrktCurUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-01-15,267,,821027088.082397,,,,,,,16020,36500,,16020,,,,,,16020,1,0,,,
2019-01-16,1434,,558404416.776848,0.00784313725490196,,0.008,,2,,86040,30770.7231040564,,86040,,,,,,102060,255,529,,,
2019-01-17,1414,,562668929.072136,0.0082516900676027,,0.008,,15.868,,84840,16568.5393258427,,84840,,,,,,186900,1923,4313,,,
2019-01-18,1440,,538482262.833333,0.00805512172714745,,0.008,,17.536,,86400,11538.9681668496,,86400,,,,,,273300,2177,4837,,,
2019-01-19,1437,,471133463.979123,0.00865062623599209,,0.008,,13.123,,86220,8753.42122830441,,86220,,,,,,359520,1517,3711,,,
2019-01-20,1386,,370786993.81746,0.00830275643922277,,0.008,,18.374,,83160,6856.73624288425,,83160,,,,,,442680,2213,5046,,,
2019-01-21,1444,,317302081.448061,0.00860205655526992,,0.008,,16.731,,86640,5974.38222625255,,86640,,,,,,529320,1945,4664,,,
2019-01-22,1455,,367386949.859794,0.00821286173633441,,0.008,,25.542,,87300,5167.60727838863,,87300,,,,,,616620,3110,6882,,,
2019-01-23,1445,,448605819.678201,0.0119070216049383,,0.008,,30.863,,86700,4499.44548711824,,86700,,,,,,703320,2592,8337,,,
2019-01-24,1463,,596089957.473684,0.00831367200818275,,0.008,,24.384,,87780,4050.01896094046,,87780,,,,,,791100,2933,6682,,,
2019-01-25,1454,,808825526.310867,0.0161449775629962,,0.008,,46.772,,87240,3625.31593688093,,87240,,,,,,878340,2897,12661,,,
2019-01-26,1469,,969019926.381892,0.0104987297554779,,0.008,,66.121,,88140,3328.68760864167,,88140,,,,,,966480,6298,18281,,,
2019-01-27,1476,,1449011605.50271,0.0123610626333139,,0.008,,63.746,,88560,3063.80800727935,,88560,,,,,,1055040,5157,17786,,,
2019-01-28,1424,,1665413722.09691,0.0132986057319907,,0.008,,68.674,,85440,2734.42760942761,,85440,,,,,,1140480,5164,19109,,,
2019-01-29,1440,9729755.0874922248576,1736355256.53819,0.0147201006174251,0.1167375569499782431833214674,0.008,0.06344389076351216,64.371,510.49333654225515642,86400,2570.42253521127,685194.020245931328,86400,685194.020245931328,0.0023353645236703657,7.93048634543902,,,1226880,4373,18134,,,
2019-01-30,1428,8701783.3627178707728,1664629319.01541,0.0187109654350417,0.1240467237482743737832044808,0.008,0.05303701689960304,94.191,624.45120734881374258,85680,2382.61108063631,568026.4509947485584,85680,568026.4509947485584,0.001928396720129616,6.62962711245038,,,1312560,5034,27180,,,
2019-01-31,1459,7997720.715053715867,1803570991.63125,0.0118997083239847,0.06797410453955401020122166635,0.008,0.04569799708622936,53.037,302.96058393279332079,87540,2282.12984786801,500050.3331160647718,87540,500050.3331160647718,0.0016750818675014942,5.71224963577867,,,1400100,4457,15147,,,
2019-02-01,1442,9163750.2446851991748,2183078499.17545,0.00991470713980334,0.0611157524978507945457426086,0.008,0.04931320845776432,46.381,285.89949018494586574,86520,2124.26847479517,533322.3494707211208,86520,533322.3494707211208,0.001789277732320282,6.16415105722054,,,1486620,4678,12933,,,
2019-02-02,1447,9414132.2736340393536,2671314323.2329,0.00936003482803657,0.05600252056446874955083473409,0.008,0.04786522408803152,43,257.27557947316942,86820,2014.01388041489,519457.3444153620708,86820,519457.3444153620708,0.0017282683840035514,5.98315301100394,,,1573440,4594,11923,,,
2019-02-03,1448,9410836.9985794996704,2937151336.12569,0.0224005436125525,0.1269682137282588608567324366,0.008,0.04534469017336176,90.655,513.8403609582637941,86880,1909.94507082972,492443.3352827087136,86880,492443.3352827087136,0.0016607238127617015,5.66808627167022,,,1660320,4047,26412,,,
2019-02-04,1440,9258776.2460044549296,3117499758.24097,0.0142648072704481,0.07561295382743457152146881838,0.008,0.04240531394157944,45.519,241.28093566334431617,86400,1805.44105523495,457977.390569057952,86400,457977.390569057952,0.0015538145476797444,5.30066424269743,,,1746720,3191,13091,,,
2019-02-05,1417,9339272.81372436279,3043712302.53282,0.0200127918781726,0.1020368191525768357201820371,0.008,0.040788639495668,98.563,502.5313343264406355,85020,1694.1432736087,433481.26624021167,85020,433481.26624021167,0.0014880000000000006,5.0985799369585,,,1831740,4925,28331,,,
2019-02-06,1429,8290556.25599910153,2787705700.38348,0.0145263781861292,0.0628073072720561987448454787,0.008,0.034589382965138,73.518,317.8677821038769355,85740,1632.09525001565,370711.711928866515,85740,370711.711928866515,0.0012839390344117465,4.32367287064225,,,1917480,5061,21020,,,
2019-02-07,1426,7759458.217600457472,2662908752.29243,0.00951276010993326,0.03685091890680339160273903037,0.008,0.0309907269654144,48.458,187.7185809112563744,85560,1559.10016774503,331445.824895107008,85560,331445.824895107008,0.0011533154661596374,3.8738408706768,,,2003040,5094,13424,,,
2019-02-08,1442,8685424.7687828465856,2494936826.81345,0.00966622749231445,0.04017845464233504989676717463,0.008,0.03325264560494208,44.02,182.9726824411937952,86520,1511.31338655028,359627.3622174485952,86520,359627.3622174485952,0.001150617066043251,4.15658070061776,,,2089560,4554,12294,,,
2019-02-09,1434,11155418.652914732448,2472153926.3152,0.00968857262452909,0.04967828818523205325291779709,0.008,0.04102010903811264,46.292,237.36286094903879136,86040,1443.49145063431,441171.2727049014432,86040,441171.2727049014432,0.001415944210276756,5.12751362976408,,,2175600,4778,12951,,,
2019-02-10,1433,13336076.618358022854,2396456691.709,0.0104141479099678,0.06141010905749239455142210614,0.008,0.0471743705492904,48.582,286.4781587532032766,85980,1387.64492080758,507006.547478498574,85980,507006.547478498574,0.0016190994280559216,5.8967963186613,,,2261580,4665,13724,,,
2019-02-11,1425,12136733.1247881069516,2497515672.59439,0.00939719529799959,0.04859282659872465780089109466,0.008,0.04136794016322616,45.567,235.62661617721580409,85500,1329.63086047344,442119.860494479585,85500,442119.860494479585,0.0014401397820377536,5.17099252040327,,,2347080,4849,12891,,,
2019-02-12,1454,12053061.7681856498424,2493048034.06671,0.0087824493731919,0.04348458903145244436199770573,0.008,0.03961044322253656,45.537,225.46759412808091659,87240,1308.06960465346,431951.8833417611868,87240,431951.8833417611868,0.0013800000000000004,4.95130540281707,,,2434320,5185,12441,,,
2019-02-13,1439,12516826.3642697879262,2788063313.50938,0.00814749310400779,0.04045795802962358874327938817,0.008,0.03972555240062456,50.213,249.34239533657012891,86340,1250.23208207374,428738.0242837405638,86340,428738.0242837405638,0.001388583753659898,4.96569405007807,,,2520660,6163,13673,,,
2019-02-14,1427,13323396.4382015164884,2846806335.44499,0.00821679536679537,0.04200455136186141008683259394,0.008,0.04089628570438024,42.563,217.58357605444201939,85620,1199.07684515862,437692.4977511295186,85620,437692.4977511295186,0.0014351925095349078,5.11203571304753,,,2606280,5180,11634,,,
2019-02-15,1453,13788107.1097810211556,3154512364.70062,0.00811814003784807,0.04155761896373101592101325335,0.008,0.04095284759315088,30.029,153.72163254684097194,87180,1181.40607248669,446283.6566463617148,87180,446283.6566463617148,0.0014359315588059346,5.11910594914386,,,2693460,3699,8070,,,
2019-02-16,1436,14125419.6732110070432,3320646405.92827,0.0077126574685063,0.03919403498981036724159554597,0.008,0.04065424676239488,25.714,130.67291265602774304,86160,1131.39206078529,437846.2376309928576,86160,437846.2376309928576,0.0014176164832140977,5.08178084529936,,,2779620,3334,6763,,,
2019-02-17,1451,14068556.593313267538,3468384395.94073,0.00806962197443568,0.03960258327891244014921805169,0.008,0.0392609055585228,29.672,145.6186987165610652,87060,1108.49135585416,427256.804740624371,87060,427256.804740624371,0.0013546623783158038,4.90761319481535,,,2866680,3677,8176,,,
2019-02-18,1407,14439751.755678694233,3393027542.30135,0.0080575785161584,0.03942578480065642788412910555,0.008,0.03914405274149624,35.405,173.23689841408429715,84420,1044.12930771577,413067.6165546390726,84420,413067.6165546390726,0.0012656086534857986,4.89300659268703,,,2951100,4394,9803,,,
2019-02-19,1463,14870332.8398564271696,3622815112.75393,0.00838209266007288,0.04101659418924118869106298095,0.008,0.03914687737549736,32.204,157.58575487506462268,87780,1054.32593587111,429539.1120026447826,87780,429539.1120026447826,0.0012561779125820464,4.89335967193717,,,3038880,3842,8842,,,
2019-02-20,1453,15028437.8950265872746,4224816793.44116,0.00798579461379106,0.03839146350223501027827833242,0.008,0.03845975546221528,26.984,129.72475517405213944,87180,1017.91712251204,419115.1851494910138,87180,419115.1851494910138,0.0012227725412039757,4.80746943277691,,,3126060,3379,7278,,,
2019-02-21,1445,14738753.7969665768208,5203151376.30035,0.0082223532881156,0.03772060183307013822617898725,0.008,0.03670054108484064,27.882,127.91056081594084056,86700,984.994210585291,397742.114006960436,86700,397742.114006960436,0.001178637994586051,4.58756763560508,,,3212760,3391,7509,,,
2019-02-22,1438,14960698.0780036430736,5689983389.19819,0.00823116646415553,0.03732722134318458712513764924,0.008,0.03627891284253272,27.097,122.88121266176363923,86280,954.586788884039,391268.0750067153852,86280,391268.0750067153852,0.0011485610310647692,4.53486410531659,,,3299040,3292,7336,,,
2019-02-23,1445,14575702.4374564653126,5746252135.79931,0.00833241852487135,0.03587128751849661856289891771,0.008,0.03444021676196392,24.289,104.56480311641770661,86700,934.670116429496,373245.849157783983,86700,373245.849157783983,0.001047413335476329,4.30502709524549,,,3385740,2915,6619,,,
2019-02-24,1422,13949221.4872485454386,5340707954.19902,0.00808795962509012,0.03250325266353960798367229476,0.008,0.03214976747679048,22.436,90.16402288865890116,85320,897.184145477174,342877.2701399704692,85320,342877.2701399704692,0.0010704646228089129,4.01872093459881,,,3471060,2774,6065,,,
2019-02-25,1426,13397966.4015149603058,5120434454.02314,0.00811313394018206,0.03056258356010760937007568212,0.008,0.03013640231796472,24.956,94.01050703089094404,85560,878.064004588626,322308.8227906326804,85560,322308.8227906326804,0.00098561796493279,3.76705028974559,,,3556620,3076,6824,,,
2019-02-26,1420,13758391.2713006163222,4636337536.85563,0.00815971873430437,0.03082651064861013369723031031,0.008,0.03022311101877768,32.492,122.75116540276554732,85200,853.913702489415,321876.132349982292,85200,321876.132349982292,0.000995182995856498,3.77788887734721,,,3641820,3982,8954,,,
2019-02-27,1435,13444383.595859811756,3868319752.10732,0.00796419342930971,0.02872209475934729405024407542,0.008,0.0288512276998644,21.575,77.80815470307180375,86100,843.00360522758,310511.338119790605,86100,310511.338119790605,0.0009492079158386908,3.60640346248305,,,3727920,2709,5829,,,
2019-02-28,1409,12753812.3103387072948,3440193956.55287,0.00788900597119775,0.02639107071859047262540929914,0.008,0.02676237874829104,22.46,75.1353783358270948,84540,809.375049180844,282811.4374225655652,84540,282811.4374225655652,0.0008819782364197124,3.34529734353638,,-57.81724855424123,3812460,2847,6065,,0.08225858005278418,
2019-03-01,1453,12787431.4150625716068,3295384260.81005,0.00785884759631776,0.02577019279711529866042206973,0.008,0.02623305005603096,23.05,75.5839754739392035,87180,815.990706834477,285874.6629855973866,87180,285874.6629855973866,0.00086052147282291,3.27913125700387,,-50.53822482948262,3899640,2933,6217,,0.0772015021019682,
2019-03-02,1438,13939266.9345292403712,3584497209.25869,0.00789283047050037,0.02760222754026439931152453297,0.008,0.02797701295465888,21.137,73.91876535282809332,86280,790.086103082852,301732.0847159960208,86280,301732.0847159960208,0.0009179669224669676,3.49712661933236,,-38.77847008947034,3985920,2678,5540,,0.07503946722719892,
2019-03-03,1432,15065583.6959145564576,4140471589.42109,0.00796697247706422,0.02947735929119482111927616269,0.008,0.02959955930668112,21.71,80.3258040685058894,85920,770.187433690911,317899.2669537552288,85920,317899.2669537552288,0.000978205014791195,3.69994491333514,,-39.9764074729948,4071840,2725,5795,,0.07428246602317794,
2019-03-04,1426,13654660.957904072574,4051794610.06522,0.00804891304347826,0.02643603663066999611137114168,0.008,0.02627538549652008,22.215,72.96346110064919715,85560,751.176215904171,281015.2478852822556,85560,281015.2478852822556,0.0008881231584212804,3.28442318706501,,-45.10547898366547,4157400,2760,6011,,0.07656777771694319,
2019-03-05,1439,14061345.4294521036792,4092033817.49826,0.00773011152416357,0.02561320164511785593097649708,0.008,0.02650745885365664,20.794,68.89951242536702152,86340,742.60204442308,286081.7496780892872,86340,286081.7496780892872,0.0008628442370531708,3.31343235670708,,-41.54230902821619,4243740,2690,5521,,0.0764626972396719,
2019-03-06,1451,14001292.020542367384,4085920021.21709,0.00775205377147125,0.02506205980726788986078442682,0.008,0.02586365940803984,20.76,67.1161961638633848,87060,733.742033804378,281461.2735079935588,87060,281461.2735079935588,0.0008392935481535898,3.23295742600498,,-39.008447281698125,4330800,2678,5524,,0.07591315130281015,
2019-03-07,1417,13681186.865876057676,3865935376.60127,0.00764088598402324,0.02367315446922093920505975623,0.008,0.0247857691044944,21.043,65.1958674082344574,85020,702.752829599033,263410.761158014236,85020,263410.761158014236,0.0008034965954494288,3.0982211380618,,-39.23364590984508,4415820,2754,5533,,0.0759537645132025,
2019-03-08,1427,14116570.9729223813568,3718224150.91871,0.00802318977756744,0.02516082140920596541312296188,0.008,0.02508809798272976,16.953,53.16481563765220266,85620,694.251172957987,268505.3686601652564,85620,268505.3686601652564,0.0008168328924605511,3.13601224784122,,-27.4687900387943,4501440,2113,4594,,0.07073572539932128,
2019-03-09,1444,14605452.2616768369576,3695266401.40305,0.00779201404124616,0.02480468716799541374754173682,0.008,0.02546677871645976,17.758,56.52988205586155226,86640,689.255636344615,275805.2134992592008,86640,275805.2134992592008,0.0008140801332554065,3.18334733955747,,-17.824519751083464,4588080,2279,4742,,0.06833275210977816,
2019-03-10,1438,14803350.367432715502,3861499620.56676,0.00797141041931385,0.02524486375882616190172010138,0.008,0.0253354048339156,12.547,39.73541555639237915,86280,673.722178009396,273242.341133779746,86280,273242.341133779746,0.0008112185018682522,3.16692560423945,,-23.809355998578962,4674360,1574,3391,,0.06677171381017682,
2019-03-11,1420,14276970.4914685458324,3770011395.50634,0.00772254512083206,0.02316486162778780314117865436,0.008,0.02399712661081032,25.245,75.72593266123831605,85200,653.379724176184,255569.398405129908,85200,255569.398405129908,0.0007788101127995324,2.99964082635129,,-41.499115498415456,4759560,3269,6768,,0.052867583148456576,
2019-03-12,1439,13671246.522735427602,3811223947.96873,0.00756738683127572,0.0213491014885309339903376713,0.008,0.02256958917474224,29.422,83.00530658740827316,86340,650.325017024701,243582.2911684056252,86340,243582.2911684056252,0.0007310860113968433,2.82119864684278,,-52.15709523636297,4845900,3888,8037,,0.044232327751993775,
