date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-09-12,2,,400230000,,,,,,,,400230000,0,0,0,,,,,,0,,,,
2017-09-13,0,,0,,,,,,,,400230000,0,0,0,,,,,,0,,,,
2017-09-14,0,,0,,,,,,,,400230000,0,0,0,,,,,,0,,,,
2017-09-15,0,,0,,,,,,,,400230000,0,0,0,,,,,,0,,,,
2017-09-16,0,,0,,,,,,,,400230000,0,0,0,,,,,,0,,,,
2017-09-17,0,,0,,,,,,,,400230000,0,0,0,,,,,,0,,,,
2017-09-18,0,,0,,,,,,,,400230000,0,0,0,,,,,,0,,,,
2017-09-19,3,,0,,7623428.57142857,,,,,,400230000,2,2,52.5,,26.25,,26.25,,52.5,,,,
2017-09-20,7802,,0,,2.1345606,,,,,,400230000,7801,7801,187499947.5,,24035.37334957,,10000,,187499947.5,,,,
2017-09-21,0,,0,,,,,,,,400230000,0,0,0,,,,,,0,,,,
2017-09-22,0,,0,,,,,,,,400230000,0,0,0,,,,,,0,,,,
2017-09-23,0,37551606.116819288571,0,0,,,0.000024850368448892325,0.0938250658791677,,,400230000,0,0,0,0,,,,,0,0,,,
2017-09-24,0,44247479.23779913809,0,0,,,0.00003006750816615486,0.110555128895383,,,400230000,0,0,0,0,,,,,0,0,,,
2017-09-25,0,59166690.65932929372,0,0,,,0.00003772431857335052,0.147831723407364,,,400230000,0,0,0,0,,,,,0,0,,,
2017-09-26,0,78346010.20962906288,0,0,,,0.00005032079481723021,0.195752467855056,,,400230000,0,0,0,0,,,,,0,0,,,
2017-09-27,0,98014428.61624543356,0,0,,,0.000058200481278667,0.244895256767972,,,400230000,0,0,0,0,,,,,0,0,,,
2017-09-28,0,78105271.98759973038,0,0,,,0.00004660021387371646,0.195150968162306,,,400230000,0,0,0,0,,,,,0,0,,,
2017-09-29,0,74334247.13277400302,0,0,,,0.000044699969050047413,0.185728823758274,,,400230000,0,0,0,0,,,,,0,0,,,
2017-09-30,0,95414813.46450901746,0,0,,,0.00005499999999999999,0.238399953687902,,,400230000,0,0,0,0,,,,,0,0,,,
2017-10-01,0,107590822.42193321805,0,0,,,0.00006134576729843893,0.268822483127035,,,400230000,0,0,0,0,,,,,0,0,,,
2017-10-02,0,97576425.60563385666,0,0,,,0.00005557505941436436,0.243800878508942,,,400230000,0,0,0,0,,,,,0,0,,,
2017-10-03,0,113931041.83731986364,0,0,,,0.00006609999999999998,0.284663922837668,,,400230000,0,0,0,0,,,,,0,0,,,
2017-10-04,0,135776523.14162782866,0,0,,,0.00008045330766474733,0.339246241265342,,,400230000,0,0,0,0,,,,,0,0,,,
2017-10-05,0,155588564.98315066086,0,0,,,0.00008999999999999998,0.388747882425482,,,400230000,0,0,0,0,,,,,0,0,,,
2017-10-06,0,172233091.48859918001,0,0,,,0.00009856701651538248,0.430335285932087,,,400230000,0,0,0,0,,,,,0,0,,,
2017-10-07,0,194637133.17095982687,0,0,,,0.00010955823080708141,0.486313202835769,,,400230000,0,0,0,0,,,,,0,0,,,
2017-10-08,0,246689982.27838540827,0,0,,,0.00013397205012291534,0.616370542633949,,,400230000,0,0,0,0,,,,,0,0,,,
2017-10-09,0,186217492.35642828273,0,0,,,0.00009738834576600332,0.465276197077751,,,400230000,0,0,0,0,,,,,0,0,,,
2017-10-10,0,199048631.80198991958,0,0,,,0.00010489926983879385,0.497335611528346,,,400230000,0,0,0,0,,,,,0,0,,,
2017-10-11,0,169275437.25486726051,0,0,,,0.00008783972749182127,0.422945399532437,,,400230000,0,0,0,0,,,,,0,0,,,
2017-10-12,0,163264216.7408825691,0,0,,,0.0000756305189871949,0.40792598441117,,,400230000,0,0,0,0,,,,,0,0,,,
2017-10-13,0,244240447.88724399819,0,0,,,0.00010870000000000005,0.610250225838253,,,400230000,0,0,0,0,,,,,0,0,,,
2017-10-14,0,208502866.0818165168,0,0,,,0.00009004168287799891,0.52095761457616,,,400230000,0,0,0,0,,,,,0,0,,,
2017-10-15,0,178992218.85482010663,0,0,,,0.00007860000000000003,0.447223393685681,,,400230000,0,0,0,0,,,,,0,0,,,
2017-10-16,0,156426895.50464397375,0,0,,,0.00006790000000000005,0.390842504321625,,,400230000,0,0,0,0,,,,,0,0,,,
2017-10-17,0,210110631.06574365264,0,0,,,0.00009390619351788049,0.524974717201968,,,400230000,0,0,0,0,,,,,0,0,,,
2017-10-18,0,232199092.6467487308,0,0,,,0.00010389999999999996,0.58016413723796,,,400230000,0,0,0,0,,,,,0,0,,,
2017-10-19,0,198409034.58684171507,0,0,,,0.00008684484157926152,0.495737537383109,,,400230000,0,0,0,0,,,,,0,0,,,
2017-10-20,0,186579029.31161024862,0,0,,,0.00007768515232342377,0.466179520054994,,,400230000,0,0,0,0,,,,,0,0,,,
2017-10-21,0,155431851.7907317437,0,0,,,0.00006440181358538635,0.38835632459019,,,400230000,0,0,0,0,,,,,0,0,,,
2017-10-22,0,150694885.9800619056,0,0,,,0.0000627890525299703,0.37652071553872,,,400230000,0,0,0,0,,,,,0,0,,,
2017-10-23,0,153745597.23470595288,0,0,,,0.00006523892662699032,0.384143110798056,,309.4248239513879,400230000,0,0,0,0,,,,,0,0,,0.18282047375567317,
2017-10-24,0,172134272.89955800179,0,0,,,0.00007794597530546128,0.430088381429573,,289.02616796418414,400230000,0,0,0,0,,,,,0,0,,0.18192765517695936,
2017-10-25,0,174521505.31005849831,0,0,,,0.00007602016727725908,0.436053032781297,,194.96580485618264,400230000,0,0,0,0,,,,,0,0,,0.1759810364732175,
2017-10-26,0,161230387.1210956818,0,0,,,0.00006827502361855219,0.40284433231166,,105.79272216886899,400230000,0,0,0,0,,,,,0,0,,0.17091941559850332,
2017-10-27,0,199527626.17595084121,0,0,,,0.00008637164860659448,0.498532409304527,,103.56964682940577,400230000,0,0,0,0,,,,,0,0,,0.17049230464300308,
2017-10-28,0,179462854.74916558359,0,0,,,0.00007781483343074216,0.448399307271233,,129.77047538821415,400230000,0,0,0,0,,,,,0,0,,0.16571816062205688,
2017-10-29,0,181446603.16276109421,0,0,,,0.00007342117195727423,0.453355828305627,,144.09556854549913,400230000,0,0,0,0,,,,,0,0,,0.16511319338430144,
2017-10-30,0,207539283.46240177605,0,0,,,0.00008474069557514783,0.518550042381635,,117.51264392462409,400230000,0,0,0,0,,,,,0,0,,0.16111105598645556,
2017-10-31,0,267821898.89319886203,0,0,,,0.00010409402673527794,0.669169974497661,,148.92634228865353,400230000,0,0,0,0,,,,,0,0,,0.16564946574997572,
2017-11-01,0,438720149.3601415824,0,0,,,0.000162965055152934,1.09617007560688,,349.61695064879564,400230000,0,0,0,0,,,,,0,0,,0.18403427202852493,
2017-11-02,0,455359641.5009119419,0,0,,,0.0001615248110175705,1.13774490043453,,299.68004694551286,400230000,0,0,0,0,,,,,0,0,,0.18297354190318127,
2017-11-03,0,570449579.9118744609,0,0,,,0.0001979965607105532,1.42530439974983,,320.1385973898016,400230000,0,0,0,0,,,,,0,0,,0.1844107060148398,
2017-11-04,0,527418647.0574534612,0,0,,,0.00017758765989458547,1.31778888903244,,238.98291118924445,400230000,0,0,0,0,,,,,0,0,,0.18502704599288802,
2017-11-05,0,644945925.0016853217,0,0,,,0.00021861454912226153,1.61143823551879,,274.4610977062889,400230000,0,0,0,0,,,,,0,0,,0.18703906404759366,
2017-11-06,0,728125773.5824139853,0,0,,,0.00026044375635539635,1.81926835465211,,274.0939674357326,400230000,0,0,0,0,,,,,0,0,,0.1870249934739486,
2017-11-07,0,545378011.2119397987,0,0,,,0.00019143336948863085,1.36266149766869,,121.0782968059441,400230000,0,0,0,0,,,,,0,0,,0.19286987295388397,
