date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-09-12,4,,226000000,,1.34179109,,,,,,226000000,2,2,168431585,,84215792.5,,84215792.5,,168431585.00000000000000001,,,,
2017-09-13,0,,0,,,,,,,,226000000,0,0,0,,,,,,0,,,,
2017-09-14,0,,0,,,,,,,,226000000,0,0,0,,,,,,0,,,,
2017-09-15,19774,,0,,4.46623996,,,,,,226000000,20140,20140,50601848.97601445,,2512.5049144,,2160,,50601848.9760144266252634,,,,
2017-09-16,1654,,0,,32.44113144,,,,,,226000000,1699,1699,6966464.792121452,,4100.3324262,,2160,,6966464.7921214522892562,,,,
2017-09-17,0,,0,,,,,,,,226000000,0,0,0,,,,,,0,,,,
2017-09-18,0,,0,,,,,,,,226000000,0,0,0,,,,,,0,,,,
2017-09-19,0,,0,,,,,,,,226000000,0,0,0,,,,,,0,,,,
2017-09-20,0,,0,,,,,,,,226000000,0,0,0,,,,,,0,,,,
2017-09-21,0,,0,,,,,,,,226000000,0,0,0,,,,,,0,,,,
2017-09-22,0,,0,,,,,,,,226000000,0,0,0,,,,,,0,,,,
2017-09-23,0,,0,,,,,,,,226000000,0,0,0,,,,,,0,,,,
2017-09-24,14020,,0,,1.29119035,,,,,,226000000,17952,17933,175032287.1517216,,9994.25630049,,2160,,179226998.236711498251136192,,,,
2017-09-25,8299,,0,,6.18671788,,,,,,226000000,10004,10005,36529870.00445523,,4161.06885828,,1080,,41631493.927062464071521217,,,,
2017-09-26,8675,,0,,11.1169441,,,,,,226000000,6813,10082,20329327.740861963,,2342.17112972,,150.001,,23613769.329853067101234781,,,,
2017-09-27,9053,394089558.6789853,0,0,13.86251886,,0.00041441235215755785,1.74375910919905,,,226000000,4334,9952,16302953.475107469,28428423.6290669567119052627,1838.5074242,3205.91406827883194058701,2,3.4875182183981,18296825.885620021154241179,31905256.80747888719301341507,,,
2017-09-28,6769,395434853.51642286,0,0,27.40643016,,0.0004178146904735616,1.74971174122311,,,226000000,2962,7146,8246239.977103605,14428542.90888156744321789031,1374.20755766,2404.4670985152359342495226,2,3.49942348244622,9820087.207063628141493343,17182321.8860340879499968776,,,
2017-09-29,6337,397901802.73938022,0,0,42.75401106,,0.0004237360186811572,1.76062744574947,,,226000000,2450,6650,5286053.738860789,9306771.292344906843418100532,878.48216143,1546.6798040149744718769421,2,3.52125489149894,5841906.373491664052140843,10285420.69666817777865987665,,,
2017-09-30,3471,403211779.88289984,0,0,50.41003305,,0.00041160561935105265,1.78412291983584,,,226000000,1482,3442,4483234.513876227,7998641.451205666856024918576,1457.54958713,2600.4476251958986793767392,2,3.56824583967168,5016885.678912719549522564,8950740.725944371674784969448,,,
2017-10-01,5736,486191905.21065736,0,0,54.56885931,,0.0004909285612186066,2.15129161597636,,,226000000,2773,5796,4141556.2439765204,8909695.224761232447765361458,863.54208634,1857.7308503859759905189224,2,4.30258323195272,5005089.932398093966251799,10767408.00877570599797579119,,,
2017-10-02,3601,421330450.58533716,0,0,28.93283772,,0.00042497078791873866,1.86429402913866,,,226000000,1711,3635,7811193.7105251,14562361.79497739850452931037,2251.54233459,4197.5369307290560232242494,2,3.72858805827732,8184356.38624780798289836,15258046.74322464899337306772,,,
2017-10-03,1545,390393227.18655726,0,0,100.2260993,,0.00040110942333525094,1.72740366011751,,,226000000,1134,1508,2254901.683140072,3895125.420661294162249309861,1778.13459666,3071.5562104520563720535166,143.3555,247.632815397975704805,2681426.971758780498013055,4631906.765353928552855748231,,,
2017-10-04,1478,382226572.1750336,0,0,97.08850614,,0.0004010895027938666,1.6912680184736,,,226000000,1001,1411,2327772.966968534,3936887.973301285243701909702,1742.10749671,2946.370693928725331221856,65,109.932421200784,2458113.677863706717200916,4157329.049143404371569931212,,,
2017-10-05,1438,384836205.96395974,0,0,103.22060134,,0.0003942229997528173,1.70281507063699,,,226000000,795,1376,2189485.4037976637,3728288.7425263772865170328,1678.45600991,2858.1001890759770374525709,2,3.40563014127398,2309555.469640992338844259,3932745.860176772982945166318,,,
2017-10-06,4318,379588966.0741358,0,0,115.07079896,,0.0003847067388442914,1.6795971950183,,,226000000,1311,4335,1964008.2631882525,3298742.769843752007168082521,525.16124272,882.059350204836621141776,2,3.3591943900366,2276573.987200780697242009,3823727.283154058464863596839,,,
2017-10-07,7105,390103487.5463764,0,0,60.47077614,,0.0003888663323014551,1.7261216263114,,,226000000,2041,7041,3737342.4722987846,6451107.666367046477449601124,558.00761172,963.189006236266627009608,2,3.4522432526228,3928931.594111933637644902,6781813.792894732215022169186,,,
