date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-09-16,10,,1000000000,,1,,,,,,1000000000,8,8,1000000000,,125000000,,50000000,,1000000000,,,,
2017-09-17,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-09-18,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-09-19,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-09-20,4552,,0,,1.16915204,,,,,,1000000000,6521,6503,855320748.4517779,,133627.55869012,,17940,,868980014.161826014480572033,,,,
2017-09-21,2083,,0,,10.22810606,,,,,,1000000000,2679,2679,97769811.3942772,,39190.45706538,,5462.926692607648,,104991234.478161795360372395,,,,
2017-09-22,1076,,0,,38.017499,,,,,,1000000000,1459,1458,26303676.631078813,,21019.48418236,,3699.164860234653,,30646407.937878375339682604,,,,
2017-09-23,877,,0,,54.78223926,,,,,,1000000000,1168,1167,18254091.35217807,,19434.26895752,,4895,,22679791.873420694587120342,,,,
2017-09-24,853,,0,,57.47363356,,,,,,1000000000,1115,1114,17399282.731458012,,17814.56940355,,3105,,19845430.315556349700353157,,,,
2017-09-25,761,,0,,71.41843427,,,,,,1000000000,909,908,14001987.164578767,,17561.89800868,,4149.0975,,15946203.391879164299649917,,,,
2017-09-26,1025,,0,,43.55984203,,,,,,1000000000,1349,1349,22956924.392664418,,19490.17209557,,4000,,26292242.156930338891802038,,,,
2017-09-27,936,,0,,75.5161079,,,,,,1000000000,1092,1092,13242207.892156648,,13940.95069839,,3023,,15223518.162643700243927847,,,,
2017-09-28,2608,,0,,17.85450374,,,,,,1000000000,2881,2881,56008277.4955899,,21266.56130139,,5000,,61268963.109305581429085449,,,,
2017-09-29,1530,324559541.165844,0,0,28.22086398,,0.00007811281604783497,0.324559541165844,,,1000000000,1771,1771,35434776.22856966,11500694.71405892496497696669,21496.15018275,6976.780640145413648657991,4000,1298.238164663376,38069681.97365290027545303,12355878.51369838774395830058,,,
2017-09-30,2447,446579790.093441,0,0,28.427195,,0.00010302807561487241,0.446579790093441,,,1000000000,2717,2716,35177582.59734757,15709597.45231816086308905429,13988.71369879,6247.07682728288085082863639,2500,1116.4494752336025,37993346.405926508894727973,16967060.66290605137915692921,,,
2017-10-01,1195,437717912.612124,0,0,60.31972304,,0.00009988800377523675,0.437717912612124,,,1000000000,1408,1407,16578325.456175106,7256630.013281405796234402585,13196.35453101,5776.28075940324177205996524,2400,1050.5229902690976,18567270.82513781861882642,8127227.028483315164634086537,,,
2017-10-02,1152,368875052.926764,0,0,46.50503584,,0.00008408605050260231,0.368875052926764,,,1000000000,1094,1094,21503047.613310847,7931937.826446764997591457809,20316.93182302,7494.40930152595830106930728,2001,738.118980906454764,22226723.414383438881770456,8198883.775869235663859552161,,,
2017-10-03,1040,347914667.494424,0,0,69.15528586,,0.00008078705335096412,0.347914667494424,,,1000000000,1207,1205,14460210.634385755,5030919.37476165388306412753,13339.06925409,4640.85784422181671491419416,3100,1078.5354692327144,16073578.451174826094930747,5592233.702286028331744403448,,,
2017-10-04,929,392779082.890016,0,0,60.67514954,,0.0000931487885677456,0.392779082890016,,,1000000000,1035,1035,16481211.95616808,6473475.317059665040483449889,17006.50353826,6679.79886292357493042801216,1645.591,646.353723792064319456,17601731.162103070274264675,6913591.823127459493677493465,,,
2017-10-05,838,406452073.6245,0,0,48.56288756,,0.00009409874183229033,0.4064520736245,,,1000000000,872,872,20591856.254084498,8369602.674250273159940123001,24339.08560369,9892.671813744015908874405,1883.5,765.55248067174575,21223682.646421716965010201,8626409.821586422705338026907,,,
2017-10-06,1220,477512318.683484,0,0,79.53563742,,0.00010937277546280829,0.477512318683484,,,1000000000,1283,1282,12572980.269782497,6003752.96138553634501006618,10514.50497283,5020.80564938507623678973972,1431.0625,683.34997255598332175,13479595.375161842065833226,6436672.842508698595403048811,,,
2017-10-07,883,451098661.913806,0,0,146.1457451,,0.00010162498371529575,0.451098661913806,,,1000000000,1001,1003,6842484.530323108,3086635.615794671334874826029,7168.29313625,3233.6074419682948389140675,1079.003,486.736809500982415418,7189798.015658153461254278,3243308.264293930625600834768,,,
