date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2018-03-03,4,,1000000000,,0.76923077,,,,,,1000000000,2,2,1300000000,,650000000,,650000000,,1300000000,,,,
2018-03-04,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2018-03-05,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2018-03-06,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2018-03-07,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2018-03-08,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2018-03-09,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2018-03-10,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2018-03-11,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2018-03-12,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2018-03-13,50,,0,,1.82395252,,,,,,1000000000,60,60,548259885.8620822,,9137664.76436804,,537097.61065,,548259885.86208229,,,,
2018-03-14,3241,,0,,0.80100087,,,,,,1000000000,4268,4283,1248438089.264402,,303896.49530113,,39000,,1301588689.374747837402288726,,,,
2018-03-15,750,,0,,20.71215971,,,,,,1000000000,610,610,48280817.367148854,,86926.34023136,,13129,,53025067.541128161856426567,,,,
2018-03-16,413,,0,,11.2371604,,,,,,1000000000,384,384,88990453.48297358,,235367.66149731,,15714,,90381182.014968006942137031,,,,
2018-03-17,270,,0,,64.58312558,,,,,,1000000000,252,252,15483920.77569167,,62842.68603013,,9936.065,,15836356.87959166783092476,,,,
2018-03-18,226,,0,,177.93620643,,,,,,1000000000,210,210,5619991.681564745,,27253.69005507,,2102.2125320749997,,5723274.911564744235162231,,,,
2018-03-19,202,,0,,71.28920499,,,,,,1000000000,204,203,14027369.222519632,,70310.80705975,,9882.2216,,14273093.833129820018165852,,,,
2018-03-20,179,,0,,147.69869314,,,,,,1000000000,163,163,6770540.610532306,,42983.51053517,,11452.7585,,7006312.217232306864932407,,,,
2018-03-21,284,,0,,81.79143713,,,,,,1000000000,234,234,12226218.723375237,,53026.9563668,,9654.61750287,,12408307.789831718206338003,,,,
2018-03-22,196,,0,,18.40088526,,,,,,1000000000,179,179,54345211.4439936,,308470.1082413,,7330.9108,,55216149.375193594917626811,,,,
2018-03-23,377,,0,,75.68271842,,,,,,1000000000,297,297,13213056.043674564,,44701.93584936,,11225,,13276474.947260904553903848,,,,
2018-03-24,198,,0,,80.11226277,,,,,,1000000000,149,149,12482483.522810299,,84084.34550611,,10000,,12528567.480410300126375995,,,,
2018-03-25,142,,0,,148.0846284,,,,,,1000000000,111,111,6752895.3597654,,62159.24008639,,10000,,6899675.649589266617825903,,,,
2018-03-26,97,,0,,38.02812347,,,,,,1000000000,82,82,26296327.788235024,,320686.92424677,,11270.7253,,26296327.788235022570468862,,,,
