date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-07-05,3,,91299754.257581440293795,,,,,,,,91299754.257581440293795,0,0,0,,,,,,0,,,,
2017-07-06,8,,0,,25.39203488,,,,,,91299754.257581440293795,12,12,3595606.051,,299634.00425,,2,,3595608.051,,,,
2017-07-07,7,,48945643.987551340495444631,,,,,,,,140245398.245132780789239631,2,2,0,,1,,1,,2,,,,
2017-07-08,316,,0,,24.7379532,,,,,,140245398.245132780789239631,545,545,5669240.179999989,,10416.94711927,,999.5,,5677236.1799999900008,,,,
2017-07-09,2066,,0,,29.30245129,,,,,,140245398.245132780789239631,3307,3263,4786131.946699921,,1641.587289,,999.5,,5356499.3239999200004,,,,
2017-07-10,1948,,0,,8.28134331,,,,,,140245398.245132780789239631,2747,2688,16935102.55833358,,6511.4040877,,999.5,,17502654.18773358,,,,
2017-07-11,637,,0,,14.56207737,,,,,,140245398.245132780789239631,892,892,9630864.79067152,,11429.78133459,,999.5,,10195364.950450534596621589,,,,
2017-07-12,399,,0,,9.49491627,,,,,,140245398.245132780789239631,617,612,14770577.676092776,,25744.86069383,,1356.774135455,,15755854.744625112603893539,,,,
2017-07-13,544,,0,,4.63145083,,,,,,140245398.245132780789239631,1023,1023,30281094.06275569,,31667.45416497,,2757.517512,,32395805.610769018536536738,,,,
2017-07-14,661,,0,,5.98502762,,,,,,140245398.245132780789239631,1218,1217,23432706.92058582,,21953.35583643,,2200,,26717234.052937643618173828,,,,
2017-07-15,423,60332213.51458786604006146949,0,0,10.38424989,,0.0002162158972643687,0.43019032545463,,,140245398.245132780789239631,761,761,13505587.76414727,5809973.19571458279437702336,22329.5187878,9605.942954568957161497514,1528.88,657.7093847810747144,16992763.797514317662973851,7310122.588426338712851895667,,,
2017-07-16,574,53092638.80915830477181084604,0,0,9.48632815,,0.00019812620780126347,0.378569560737804,,,140245398.245132780789239631,1286,1285,14783949.707272522,5596753.346651944683454815822,16801.12093992,6360.39297412823506915673568,1550,586.7828191435962,21589440.407803073246010939,8173104.971757005496028871586,,,
2017-07-17,603,82572900.94392392486431747601,0,0,11.18356045,,0.00026572284304257924,0.588774405272079,,,140245398.245132780789239631,1206,1206,12540317.452210665,7383417.949848407252109350523,12779.5412636,7524.2668071260829654590244,1271.65675292,748.71894841069611027772068,15412126.763907100375465003,9074265.769397294536636763703,,,
