date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-07-06,6,,100000000,,0.70921935,,,,,,100000000,6,6,141000102,,23500017,,6000049.5,,141000102,,,,
2017-07-07,0,,0,,,,,,,,100000000,0,0,0,,,,,,0,,,,
2017-07-08,0,,0,,,,,,,,100000000,0,0,0,,,,,,0,,,,
2017-07-09,5,,0,,6250000,,,,,,100000000,4,4,16,,4,,2.5,,16,,,,
2017-07-10,11,,0,,1.98385411,,,,,,100000000,14,14,50406932.511648,,3600495.17940343,,30,,50406932.511648000000000001,,,,
2017-07-11,30,,0,,19.09235231,,,,,,100000000,33,33,5237699.2827,,158718.16008182,,500,,5237699.2827000000002,,,,
2017-07-12,81,,0,,105.38798861,,,,,,100000000,123,123,948874.73724512,,7801.47476459,,518.95,,959581.396045120001466004,,,,
2017-07-13,125,,0,,80.99643877,,,,,,100000000,243,243,1234622.1823341805,,5159.13566969,,419.737,,1253669.9677341800003,,,,
2017-07-14,297,,0,,84.17493705,,,,,,100000000,439,438,1188002.07648516,,2853.78457873,,574.9,,1249957.645485160002,,,,
2017-07-15,60,,0,,928.16289091,,,,,,100000000,68,68,107739.70924688001,,1591.21123892,,401.2925,,108202.36424688,,,,
2017-07-16,118,,0,,31.68670403,,,,,,100000000,174,174,3155897.81416696,,18188.80858429,,500,,3164852.69366696000005,,,,
2017-07-17,221,,0,,29.60179566,,,,,,100000000,337,337,3378173.44455245,,10103.23982775,,704.747,,3404791.821952449998,,,,
2017-07-18,198,,0,,50.21046915,,,,,,100000000,291,291,1991616.5231918592,,6926.02759722,,537.9,,2015474.03079186,,,,
2017-07-19,328,,0,,57.63167218,,,,,,100000000,432,432,1735157.0104505906,,4083.84589633,,456.540801,,1764221.42721459000276,,,,
2017-07-20,546,,0,,14.20375163,,,,,,100000000,1143,1143,7040393.455023509,,6320.4244241,,223.9595,,7224245.116742440004469,,,,
2017-07-21,771,,0,,16.24681404,,,,,,100000000,2101,2101,6155052.907094439,,3153.09290249,,228.9,,6624648.1881366998972,,,,
2017-07-22,285,,0,,21.27497904,,,,,,100000000,593,593,4700357.157144492,,8037.3007701,,214.0565,,4766119.35666688,,,,
2017-07-23,320,,0,,22.78065722,,,,,,100000000,615,615,4389688.9822779,,7319.94216925,,219.99,,4501764.43409007,,,,
2017-07-24,566,,0,,24.63155142,,,,,,100000000,999,999,4059833.5961365597,,4243.60742682,,199.4,,4239363.81939713,,,,
2017-07-25,1125,,0,,11.0051288,,,,,,100000000,1838,1838,9086672.388470262,,5135.45493286,,148.861067755,,9438966.1666047750004,,,,
2017-07-26,521,,0,,85.14841702,,,,,,100000000,844,844,1174419.9540129004,,2026.56905301,,169.620346355,,1710424.28074392,,,,
2017-07-27,352,,0,,63.30970865,,,,,,100000000,545,545,1579536.5691672196,,3229.46688484,,163.182,,1760059.45223613999999,,,,
2017-07-28,276,562757980.133634,0,0,163.73664329,,0.0020142860452590653,5.62757980133634,,,100000000,449,449,610736.8392931562,3436970.300738164177185776356,1899.25113652,10688.1873335450395597771368,193,1086.12290165791362,852763.760297166,4798996.112759955702282314812,,,
2017-07-29,166,575267999.216,0,0,552.30822228,,0.0021255439284463763,5.75267999216,,,100000000,289,289,181058.32208495997,1041570.586872210275073513835,730.09097815,4199.979762460028731304,172.1502,990.325011186342432,210996.29268449,1213794.1513460009985535984,,,
2017-07-30,126,550418298.402036,0,0,141.55938468,,0.0020019691420241907,5.50418298402036,,,100000000,196,196,706417.3119100201,3888250.147832535829988466409,3676.68852591,20237.1664218567224938275276,171.565522,944.32802683697072202792,720630.95107764,3966484.61867995459704170075,,,
2017-07-31,191,606262099.134725,0,0,137.15456675,,0.0021178638576102985,6.06262099134725,,,100000000,406,406,729104.4138847,4420283.724501315581459162075,1940.1391306,11762.32821930976373770085,246.86501054,1496.648994928964120050015,787696.48702191,4775505.257029518248031168248,,,
