date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2016-10-04,3349,136576851.5385043,11000000,136576851.5385043,5.49580444,,0.020353962288147343,12.4160774125913,,,11000000,2770,2155,2001526.82280462,24851111.97532007168156781181,1348.49771279,16743.051992702949197052727,101.21062834417,1256.638996498221943427947721,2906012.571069446975502321,36081277.04436173050913944912,,,
2016-10-05,929,101155396.46580951,0,0,10.10689688,,0.015022426641867346,9.19594513325541,,,11000000,1867,1831,1088365.7103232685,10008551.35704932830530087651,803.72335339,7390.9958600904885325593399,118.70218327275168,1091.578764573852547843266947,1471617.460050232695548,13532913.4197626251076135313,,,
2016-10-06,613,69003348.97822663,0,0,14.35511279,,0.010254058582444141,6.27303172529333,,,11000000,1007,963,766277.5038741967,4806883.092181418488201725618,1028.62374498,6452.5893856495756936149834,119.18895199,747.6760771377335780372267,990564.666416377216806,6213843.578384538674191157099,,,
2016-10-07,479,68050737.69675016,0,0,31.03037936,,0.010011933290486356,6.18643069970456,,,11000000,694,690,354491.3155247709,2193035.957141098391967991685,686.16460952,4244.9098053853197917634112,97.46065,602.933557173161225564,473453.580565431216429052,2928987.765695029910212780666,,,
2016-10-08,264,57947842.85025054,0,0,22.40536284,,0.008506341340873748,5.26798571365914,,,11000000,478,461,490953.8879695227,2586338.067888855508745416292,1310.65061148,6904.4886968752560292909272,183.433605,966.3256105449937913997,604209.931890281466628452,3182969.289248964784253531541,,,
2016-10-09,209,79544572.74310349,0,0,39.13895685,,0.011718218428783407,7.23132479482759,,,11000000,380,377,281049.90234014875,2032363.127376190366200791204,1158.45656713,8377.1756976180214916111167,119.37233584,863.2201319762781683778256,436738.125806168828439904,3158195.237988679992783337395,,,
2016-10-10,251,72286678.95682475,0,0,49.37501997,,0.010632055692002089,6.57151626880225,,,11000000,486,480,222784.720027227,1464033.412099476675070678861,654.21293575,4299.1709505420061087054375,137.46954888,903.38337692982612542898,314022.209162017409751657,2063602.056273420373182464282,,,
2016-10-11,234,63627152.85456255,0,0,68.65802432,,0.008996040535171602,5.78428662314205,,,11000000,659,370,160214.33924797617,926725.6593476108868439489249,566.87706874,3278.979445678758352634517,169.932747705,982.93971938380439702649525,209744.51543220980779764,1213222.394891942462990435546,,,
2016-10-12,183,64406287.29277083,0,0,87.20318431,,0.009197511852339552,5.85511702661553,,,11000000,469,240,126142.18261489709,738577.2412029294505618019458,624.36260361,3655.7161111789139772600633,174.249612055,1020.25187042438121213821415,149847.02486542710949486,877371.8666772429667807373942,,,
2016-10-13,99,67449474.94940732,0,0,114.09339594,,0.009649582858765986,6.13177044994612,,,11000000,149,135,96412.24112385346,591177.7311363247446065037756,753.5644871,4620.684454128584140435052,151.45996,928.7177070780213373552,101731.2057589077817,623792.4013098592827368208137,,,
