date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-06-19,0,0,0,0,,,0.00012566587129771294,0.325429645094237,,,0,0,0,0,0,,,,,0,0,,,
2017-06-20,8117,318595694.4352585696268891484,2178225596.65848276775711,318595694.4352585696268891484,,,0.000053513260576196146,0.146263864920145,,,2178225596.65848276775711,0,0,0,0,,,,,0,0,,,
2017-06-21,13770,1345222569.170412831545856537,4626644578.219685478441727603,914619463.1497839034185971737,183.76444779,,0.00007490174039370675,0.197685265787528,,,6804870174.878168246198837603,9,9,37030395.4692731,7320363.570560525413997205897,4114488.38547479,813373.7300622808212055404191,567071.6072571573,112101.7014011918327171990742,37030395.469273097175584273,7320363.57056052485565183221,,,
2017-06-22,2,1982152287.025215155957581699,0,0,666.66666667,,0.00010841927098145237,0.291284364886609,,,6804870174.878168246198837603,1,1,10207305.262317253,2973228.430537822917649929365,10207305.26231725,2973228.430537822043796834705,10207305.262317253,2973228.430537822917649929365,10207305.262317252369298256,2973228.430537822733936372431,,,
2017-06-23,3,1339214038.808147382745010433,0,0,2666.66666667,,0.0000732731875546719,0.196802290769952,,,6804870174.878168246198837603,2,2,2551826.315579313,502205.264553055250359693203,1275913.15778966,251102.6322765283139878642963,1275913.1577896567,251102.6322765276645403047555,2551826.315579313092324563,502205.2645530552685293786957,,,
2017-06-24,10,1541116255.967747061846350781,0,0,101.76391464,,0.00008839025155681634,0.226472543393576,,,6804870174.878168246198837603,9,9,66869186.38188935,15144034.71456555713855553282,7429909.59798771,1682670.523840618466384140951,113414.04925662448,25685.16819171205343187787634,66869186.381889350047201743,15144034.71456555714924543161,,,
2017-06-25,0,1247884024.605081807035303208,0,0,,,0.00007341910310391738,0.183381018672766,,,6804870174.878168246198837603,0,0,0,0,,,,,0,0,,,
2017-06-26,131,931947000.4377899922839477422,0,0,83.07554162,,0.00005644366803369144,0.136952943478378,,,6804870174.878168246198837603,130,130,81911836.41021398,11218067.10209818029898848332,630091.04930934,86292.82386229392637412345052,7087.9527741531,970.7159956560020497671116718,81911836.410213992281003339,11218067.10209818198090803947,,,
2017-06-27,182,955898504.2281370840173946765,0,0,144.00961063,,0.00005551522532780325,0.140472702588371,,,6804870174.878168246198837603,181,181,47252889.20182067,6637741.051288602506914769429,261065.6861979,36672.6024933065985797446209,1133.6913711347029,159.25269080440764805613208,47252889.201820677616407948,6637741.0512886035768121779,,,
2017-06-28,13067,658231913.8913151847273459731,0,0,3.34858641,,0.00003774380558048546,0.0967295329632207,,,6804870174.878168246198837603,14342,14529,2032162037.641547,196570084.8066537654765212504,153058.12333738,14805.24078665179820787749977,25376,2454.6086284746884832,2223781473.968724133729154092,215105343.3892572160959127283,,,
2017-06-29,9126,395247542.1865403874293130396,0,0,4.34616811,,0.000022863350460552784,0.058083039356973,,,6804870174.878168246198837603,11314,11342,1565717201.5488808,90941613.83945327050125982582,155099.96579651,9008.67741762385648416756423,25000,1452.075983924325,1759143812.063973622545829832,102176419.2706872944372135694,,,
2017-06-30,2404,294128321.4134778392182134533,0,0,21.43933071,,0.000017622618238257943,0.0432232083573503,,,6804870174.878168246198837603,3155,3163,317401241.0830506,13719099.97621427007972525683,115630.45401331,4997.919206272310329272532493,20100,868.78648798274103,365739126.044102559734129557,15808418.44943944852631856949,,,
2017-07-01,1958,295969574.853870587545621838,0,0,31.63752533,,0.000018029512640291138,0.0434937871330028,,,6804870174.878168246198837603,2409,2414,215088572.9578267,9355016.606969056924108133015,113400.44004327,4932.214600030832210477031156,24925.51385,1084.10499357261308348878,273748662.264461391853336293,11906366.04447476002442024958,,,
2017-07-02,1969,296664959.4746793476472004618,0,0,27.48813298,,0.000017307736616239175,0.0435959763890706,,,6804870174.878168246198837603,2456,2457,247556652.16653356,10792473.96280956027737907211,110297.83435545,4808.54178232581826057554477,33469,1459.1137337658039114,271001779.011345593438267686,11814587.15917475098025211237,,,
2017-07-03,3308,362419269.9645866422099338425,0,0,11.51665552,,0.00002087003208973371,0.0532588073909985,,,6804870174.878168246198837603,4733,4738,590872077.6589603,31469142.17675767449489908886,149106.24747422,7941.22091502403955858880867,28147.405545885,1499.097250524612206527716172,706465400.532875176850453192,37625504.69538500810922254925,,,
2017-07-04,2664,354251124.557797904563844282,0,0,16.49146856,,0.000020024454025202878,0.052058469221882,,,6804870174.878168246198837603,3480,3482,412629727.3108986,21480871.95924797728544020317,135898.47309741,7074.66647904227747308952562,22000,1145.286322881404,473198483.325191316649814148,24633988.6800257149540436334,,,
2017-07-05,1424,334689050.0940080718567263569,0,0,43.56965262,,0.00001885804233193053,0.0491837524438885,,,6804870174.878168246198837603,1825,1825,156183714.2661972,7681701.138235659717945275812,91713.88199398,4510.83286765991532044479123,19999.9999,983.67504395939475561115,167377834.63900958488427701,8232269.983479152899729235279,,,
