date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2018-01-12,4,,12600000000,,1,,,,,,12600000000,2,2,12600000000,,6300000000,,6300000000,,12600000000,,,,
2018-01-13,0,,0,,,,,,,,12600000000,0,0,0,,,,,,0,,,,
2018-01-14,0,,0,,,,,,,,12600000000,0,0,0,,,,,,0,,,,
2018-01-15,0,,0,,,,,,,,12600000000,0,0,0,,,,,,0,,,,
2018-01-16,0,,0,,,,,,,,12600000000,0,0,0,,,,,,0,,,,
2018-01-17,0,,0,,,,,,,,12600000000,0,0,0,,,,,,0,,,,
2018-01-18,0,,0,,,,,,,,12600000000,0,0,0,,,,,,0,,,,
2018-01-19,0,,0,,,,,,,,12600000000,0,0,0,,,,,,0,,,,
2018-01-20,0,,0,,,,,,,,12600000000,0,0,0,,,,,,0,,,,
2018-01-21,0,,0,,,,,,,,12600000000,0,0,0,,,,,,0,,,,
2018-01-22,0,,0,,,,,,,,12600000000,0,0,0,,,,,,0,,,,
2018-01-23,307,,0,,3.37143331,,,,,,12600000000,306,306,3737282878.01,,12213342.73859477,,232120,,3737282878.01,,,,
2018-01-24,798,,0,,5.00457843,,,,,,12600000000,796,796,2517694580,,3162932.88944724,,580300,,2517694580,,,,
2018-01-25,2823,,0,,2.07071042,,,,,,12600000000,4141,4238,6084868209.535699,,1486274.47581044,,33705.62011951027,,6298831228.484629541051,,,,
2018-01-26,2433,,0,,5.34551321,,,,,,12600000000,3138,3138,2357116986.59601,,802854.55023134,,20209,,2519357578.625932706686,,,,
2018-01-27,1065,1268379386.8732602,0,0,17.63949988,,0.00000889190847222518,0.100665030704227,,,12600000000,1236,1235,714305966.0045494,71905632.00006049300896781031,586691.53435676,59059.32131993329526825802452,20000,2013.30061408454,724564044.930593784957,72938261.83011713494984722311,,,
2018-01-28,785,1219936416.54656436,0,0,64.73434129,,0.000008335114898914758,0.0968203505195686,,,12600000000,902,901,194641665.45717663,18845274.2752764489516741216,236028.16134308,22852.32931372629702759819529,14236.67378,1378.399745612351664531308,212661373.370115256457,20589948.71166741070649456559,,,
2018-01-29,791,1096897273.19740134,0,0,38.69249594,,0.000007819889010946365,0.0870553391426509,,,12600000000,873,873,325644538.915604,28349095.77525008516615193464,416490.20850668,36257.69635114241424918555801,12442.219763391184,1083.16166118941315997691545,363595952.026328365046,31652968.91454704253730784556,,,
